 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     0    11           0       0.000           0
     0     0    12           0       0.000           0
     0     0    13           0       0.000           0
     0     0    14           0       0.000           0
     0     0    15           0       0.000           0
     0     0    16           0       0.000           0
     0     0    17           0       0.000           0
     0     0    18           0       0.000           0
     0     0    19           0       0.000           0
     0     0    20           0       0.000           0
     0     0    21           0       0.000           0
     0     0    22           0       0.000           0
     0     0    23           0       0.000           0
     0     0    24           0       0.000           0
     0     1     0          32      21.622         148
     0     1     1          37      25.000         148
     0     1     2          42      28.378         148
     0     1     3          44      29.730         148
     0     1     4          42      28.378         148
     0     1     5          38      25.676         148
     0     1     6          42      28.378         148
     0     1     7          37      25.000         148
     0     1     8          47      31.757         148
     0     1     9          38      25.676         148
     0     1    10          50      33.784         148
     0     1    11          43      29.054         148
     0     1    12          43      29.054         148
     0     1    13          46      31.081         148
     0     1    14          53      35.811         148
     0     1    15          47      31.757         148
     0     1    16          42      28.378         148
     0     1    17          51      34.459         148
     0     1    18          54      36.486         148
     0     1    19          49      33.108         148
     0     1    20          51      34.459         148
     0     1    21          48      32.432         148
     0     1    22          48      32.432         148
     0     1    23          43      29.054         148
     0     1    24          50      33.784         148
     0     2     0          45      30.405         148
     0     2     1          47      31.757         148
     0     2     2          56      37.838         148
     0     2     3          60      40.541         148
     0     2     4          58      39.189         148
     0     2     5          56      37.838         148
     0     2     6          56      37.838         148
     0     2     7          51      34.459         148
     0     2     8          58      39.189         148
     0     2     9          49      33.108         148
     0     2    10          63      42.568         148
     0     2    11          58      39.189         148
     0     2    12          53      35.811         148
     0     2    13          58      39.189         148
     0     2    14          67      45.270         148
     0     2    15          61      41.216         148
     0     2    16          54      36.486         148
     0     2    17          59      39.865         148
     0     2    18          65      43.919         148
     0     2    19          64      43.243         148
     0     2    20          64      43.243         148
     0     2    21          67      45.270         148
     0     2    22          55      37.162         148
     0     2    23          63      42.568         148
     0     2    24          62      41.892         148
     0     3     0          56      37.838         148
     0     3     1          57      38.514         148
     0     3     2          69      46.622         148
     0     3     3          77      52.027         148
     0     3     4          75      50.676         148
     0     3     5          68      45.946         148
     0     3     6          68      45.946         148
     0     3     7          63      42.568         148
     0     3     8          68      45.946         148
     0     3     9          58      39.189         148
     0     3    10          73      49.324         148
     0     3    11          70      47.297         148
     0     3    12          66      44.595         148
     0     3    13          63      42.568         148
     0     3    14          68      45.946         148
     0     3    15          65      43.919         148
     0     3    16          54      36.486         148
     0     3    17          65      43.919         148
     0     3    18          76      51.351         148
     0     3    19          75      50.676         148
     0     3    20          62      41.892         148
     0     3    21          74      50.000         148
     0     3    22          65      43.919         148
     0     3    23          69      46.622         148
     0     3    24          65      43.919         148
     0     4     0          67      45.270         148
     0     4     1          69      46.622         148
     0     4     2          81      54.730         148
     0     4     3          83      56.081         148
     0     4     4          86      58.108         148
     0     4     5          82      55.405         148
     0     4     6          83      56.081         148
     0     4     7          72      48.649         148
     0     4     8          77      52.027         148
     0     4     9          67      45.270         148
     0     4    10          84      56.757         148
     0     4    11          74      50.000         148
     0     4    12          77      52.027         148
     0     4    13          75      50.676         148
     0     4    14          69      46.622         148
     0     4    15          69      46.622         148
     0     4    16          65      43.919         148
     0     4    17          80      54.054         148
     0     4    18          88      59.459         148
     0     4    19          82      55.405         148
     0     4    20          68      45.946         148
