 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1          36      24.324         148
     0     0     2          49      33.108         148
     0     0     3          54      36.486         148
     0     0     4          66      44.595         148
     0     0     5          75      50.676         148
     0     0     6          83      56.081         148
     0     0     7          89      60.135         148
     0     0     8          84      56.757         148
     0     0     9          87      58.784         148
     0     0    10          89      60.135         148
     0     0    11          85      57.432         148
     0     0    12          84      56.757         148
     0     0    13          80      54.054         148
     0     0    14          78      52.703         148
     0     0    15          81      54.730         148
     0     0    16          88      59.459         148
     0     0    17          92      62.162         148
     0     0    18          94      63.514         148
     0     0    19          94      63.514         148
     0     0    20          96      64.865         148
     0     0    21          82      55.405         148
     0     0    22          70      47.297         148
     0     0    23          64      43.243         148
     0     0    24          46      31.081         148
     0     0    25           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1          35      23.649         148
     0     1     2          49      33.108         148
     0     1     3          63      42.568         148
     0     1     4          64      43.243         148
     0     1     5          66      44.595         148
     0     1     6          63      42.568         148
     0     1     7          60      40.541         148
     0     1     8          64      43.243         148
     0     1     9          64      43.243         148
     0     1    10          70      47.297         148
     0     1    11          69      46.622         148
     0     1    12          65      43.919         148
     0     1    13          67      45.270         148
     0     1    14          64      43.243         148
     0     1    15          66      44.595         148
     0     1    16          72      48.649         148
     0     1    17          70      47.297         148
     0     1    18          76      51.351         148
     0     1    19          81      54.730         148
     0     1    20          81      54.730         148
     0     1    21          75      50.676         148
     0     1    22          61      41.216         148
     0     1    23          49      33.108         148
     0     1    24          39      26.351         148
     0     1    25           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1          28      18.919         148
     0     2     2          34      22.973         148
     0     2     3          50      33.784         148
     0     2     4          56      37.838         148
     0     2     5          68      45.946         148
     0     2     6          74      50.000         148
     0     2     7          74      50.000         148
     0     2     8          77      52.027         148
     0     2     9          79      53.378         148
     0     2    10          78      52.703         148
     0     2    11          74      50.000         148
     0     2    12          71      47.973         148
     0     2    13          69      46.622         148
     0     2    14          64      43.243         148
     0     2    15          68      45.946         148
     0     2    16          72      48.649         148
     0     2    17          71      47.973         148
     0     2    18          76      51.351         148
     0     2    19          77      52.027         148
     0     2    20          75      50.676         148
     0     2    21          75      50.676         148
     0     2    22          64      43.243         148
     0     2    23          60      40.541         148
     0     2    24          53      35.811         148
     0     2    25           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          41      27.703         148
     0     3     2          58      39.189         148
     0     3     3          68      45.946         148
     0     3     4          73      49.324         148
     0     3     5          84      56.757         148
     0     3     6          80      54.054         148
     0     3     7          82      55.405         148
     0     3     8          86      58.108         148
     0     3     9          80      54.054         148
     0     3    10          84      56.757         148
     0     3    11          82      55.405         148
     0     3    12          81      54.730         148
     0     3    13          81      54.730         148
     0     3    14          84      56.757         148
     0     3    15          85      57.432         148
     0     3    16          81      54.730         148
     0     3    17          81      54.730         148
     0     3    18          78      52.703         148
     0     3    19          78      52.703         148
     0     3    20          82      55.405         148
     0     3    21          77      52.027         148
     0     3    22          70      47.297         148
     0     3    23          55      37.162         148
     0     3    24          44      29.730         148
     0     3    25           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          53      35.811         148
     0     4     2          64      43.243         148
     0     4     3          74      50.000         148
     0     4     4          81      54.730         148
     0     4     5          89      60.135         148
     0     4     6          85      57.432         148
     0     4     7          88      59.459         148
     0     4     8          95      64.189         148
     0     4     9          92      62.162         148
     0     4    10          94      63.514         148
     0     4    11          87      58.784         148
     0     4    12          85      57.432         148
     0     4    13          91      61.486         148
     0     4    14          90      60.811         148
     0     4    15          83      56.081         148
     0     4    16          85      57.432         148
     0     4    17          84      56.757         148
     0     4    18          85      57.432         148
     0     4    19          96      64.865         148
     0     4    20          87      58.784         148
     0     4    21          79      53.378         148
     0     4    22          76      51.351         148
     0     4    23          63      42.568         148
     0     4    24          53      35.811         148
     0     4    25           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          55      37.162         148
     0     5     2          67      45.270         148
     0     5     3          73      49.324         148
     0     5     4          82      55.405         148
     0     5     5          90      60.811         148
     0     5     6          96      64.865         148
     0     5     7         101      68.243         148
     0     5     8          99      66.892         148
     0     5     9         103      69.595         148
     0     5    10          95      64.189         148
     0     5    11          95      64.189         148
     0     5    12          97      65.541         148
     0     5    13          94      63.514         148
     0     5    14          99      66.892         148
     0     5    15          91      61.486         148
     0     5    16          86      58.108         148
     0     5    17          84      56.757         148
     0     5    18          80      54.054         148
     0     5    19          76      51.351         148
     0     5    20          74      50.000         148
     0     5    21          63      42.568         148
     0     5    22          52      35.135         148
     0     5    23          49      33.108         148
     0     5    24          39      26.351         148
     0     5    25           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          54      36.486         148
     0     6     2          66      44.595         148
     0     6     3          77      52.027         148
     0     6     4          85      57.432         148
     0     6     5          86      58.108         148
     0     6     6          95      64.189         148
     0     6     7          93      62.838         148
     0     6     8          92      62.162         148
     0     6     9          98      66.216         148
     0     6    10          92      62.162         148
     0     6    11          94      63.514         148
     0     6    12          98      66.216         148
     0     6    13          98      66.216         148
     0     6    14          91      61.486         148
     0     6    15          89      60.135         148
     0     6    16          89      60.135         148
     0     6    17          83      56.081         148
     0     6    18          90      60.811         148
     0     6    19          87      58.784         148
     0     6    20          82      55.405         148
     0     6    21          78      52.703         148
     0     6    22          65      43.919         148
     0     6    23          56      37.838         148
     0     6    24          41      27.703         148
     0     6    25           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1          45      30.405         148
     0     7     2          58      39.189         148
     0     7     3          72      48.649         148
     0     7     4          84      56.757         148
     0     7     5          95      64.189         148
     0     7     6         104      70.270         148
     0     7     7         113      76.351         148
     0     7     8         109      73.649         148
     0     7     9         114      77.027         148
     0     7    10         113      76.351         148
     0     7    11         107      72.297         148
     0     7    12         105      70.946         148
     0     7    13         101      68.243         148
     0     7    14          98      66.216         148
