 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     1     0          53      33.974         156
     0     1     1          57      36.538         156
     0     1     2          58      37.179         156
     0     1     3          56      35.897         156
     0     1     4          61      39.103         156
     0     1     5          69      44.231         156
     0     1     6          56      35.897         156
     0     1     7          60      38.462         156
     0     1     8          50      32.051         156
     0     1     9          47      30.128         156
     0     2     0          80      51.282         156
     0     2     1          73      46.795         156
     0     2     2          69      44.231         156
     0     2     3          72      46.154         156
     0     2     4          75      48.077         156
     0     2     5          87      55.769         156
     0     2     6          74      47.436         156
     0     2     7          71      45.513         156
     0     2     8          66      42.308         156
     0     2     9          72      46.154         156
     0     3     0          88      56.410         156
     0     3     1          82      52.564         156
     0     3     2          82      52.564         156
     0     3     3          82      52.564         156
     0     3     4          85      54.487         156
     0     3     5         100      64.103         156
     0     3     6          88      56.410         156
     0     3     7          77      49.359         156
     0     3     8          74      47.436         156
     0     3     9          77      49.359         156
     0     4     0          99      63.462         156
     0     4     1          92      58.974         156
     0     4     2          94      60.256         156
     0     4     3          87      55.769         156
     0     4     4          91      58.333         156
     0     4     5         107      68.590         156
     0     4     6          90      57.692         156
     0     4     7          74      47.436         156
     0     4     8          74      47.436         156
     0     4     9          79      50.641         156
     0     5     0         109      69.872         156
     0     5     1         107      68.590         156
     0     5     2         102      65.385         156
     0     5     3          92      58.974         156
     0     5     4         104      66.667         156
     0     5     5         107      68.590         156
     0     5     6          98      62.821         156
     0     5     7          79      50.641         156
     0     5     8          82      52.564         156
     0     5     9          84      53.846         156
     0     6     0         102      65.385         156
     0     6     1         103      66.026         156
     0     6     2         101      64.744         156
     0     6     3          91      58.333         156
     0     6     4         100      64.103         156
     0     6     5         105      67.308         156
     0     6     6          94      60.256         156
     0     6     7          77      49.359         156
     0     6     8          78      50.000         156
     0     6     9          69      44.231         156
     0     7     0          96      61.538         156
     0     7     1          92      58.974         156
     0     7     2          91      58.333         156
     0     7     3          83      53.205         156
     0     7     4          95      60.897         156
     0     7     5          96      61.538         156
     0     7     6          84      53.846         156
     0     7     7          67      42.949         156
     0     7     8          68      43.590         156
     0     7     9          63      40.385         156
     0     8     0          91      58.333         156
     0     8     1          80      51.282         156
     0     8     2          82      52.564         156
     0     8     3          76      48.718         156
     0     8     4          84      53.846         156
     0     8     5          86      55.128         156
     0     8     6          79      50.641         156
     0     8     7          71      45.513         156
     0     8     8          68      43.590         156
     0     8     9          58      37.179         156
     0     9     0          76      48.718         156
     0     9     1          68      43.590         156
     0     9     2          63      40.385         156
     0     9     3          63      40.385         156
     0     9     4          63      40.385         156
     0     9     5          79      50.641         156
     0     9     6          70      44.872         156
     0     9     7          62      39.744         156
     0     9     8          54      34.615         156
     0     9     9          47      30.128         156
     0    10     0          62      39.744         156
     0    10     1          56      35.897         156
     0    10     2          50      32.051         156
     0    10     3          44      28.205         156
     0    10     4          46      29.487         156
     0    10     5          61      39.103         156
     0    10     6          51      32.692         156
     0    10     7          49      31.410         156
     0    10     8          38      24.359         156
     0    10     9          37      23.718         156
     0    11     0           0       0.000           0
     0    11     1           0       0.000           0
     0    11     2           0       0.000           0
     0    11     3           0       0.000           0
     0    11     4           0       0.000           0
     0    11     5           0       0.000           0
     0    11     6           0       0.000           0
     0    11     7           0       0.000           0
     0    11     8           0       0.000           0
     0    11     9           0       0.000           0
