 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1          41      26.282         156
     0     0     2          57      36.538         156
     0     0     3          71      45.513         156
     0     0     4          80      51.282         156
     0     0     5          89      57.051         156
     0     0     6          78      50.000         156
     0     0     7          64      41.026         156
     0     0     8          56      35.897         156
     0     0     9          45      28.846         156
     0     0    10           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1          44      28.205         156
     0     1     2          55      35.256         156
     0     1     3          64      41.026         156
     0     1     4          79      50.641         156
     0     1     5          93      59.615         156
     0     1     6          82      52.564         156
     0     1     7          69      44.231         156
     0     1     8          60      38.462         156
     0     1     9          40      25.641         156
     0     1    10           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1          68      43.590         156
     0     2     2          74      47.436         156
     0     2     3          79      50.641         156
     0     2     4          85      54.487         156
     0     2     5          93      59.615         156
     0     2     6          85      54.487         156
     0     2     7          78      50.000         156
     0     2     8          70      44.872         156
     0     2     9          56      35.897         156
     0     2    10           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          57      36.538         156
     0     3     2          69      44.231         156
     0     3     3          75      48.077         156
     0     3     4          82      52.564         156
     0     3     5          91      58.333         156
     0     3     6          83      53.205         156
     0     3     7          76      48.718         156
     0     3     8          69      44.231         156
     0     3     9          51      32.692         156
     0     3    10           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          63      40.385         156
     0     4     2          83      53.205         156
     0     4     3          92      58.974         156
     0     4     4          94      60.256         156
     0     4     5          96      61.538         156
     0     4     6          86      55.128         156
     0     4     7          82      52.564         156
     0     4     8          71      45.513         156
     0     4     9          64      41.026         156
     0     4    10           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          59      37.821         156
     0     5     2          72      46.154         156
     0     5     3          73      46.795         156
     0     5     4          82      52.564         156
     0     5     5          94      60.256         156
     0     5     6          87      55.769         156
     0     5     7          78      50.000         156
     0     5     8          70      44.872         156
     0     5     9          58      37.179         156
     0     5    10           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          71      45.513         156
     0     6     2          83      53.205         156
     0     6     3          88      56.410         156
     0     6     4         105      67.308         156
     0     6     5          99      63.462         156
     0     6     6          90      57.692         156
     0     6     7          82      52.564         156
     0     6     8          61      39.103         156
     0     6     9          54      34.615         156
     0     6    10           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1          60      38.462         156
     0     7     2          71      45.513         156
     0     7     3          82      52.564         156
     0     7     4          86      55.128         156
     0     7     5          98      62.821         156
     0     7     6          92      58.974         156
     0     7     7          83      53.205         156
     0     7     8          69      44.231         156
     0     7     9          51      32.692         156
     0     7    10           0       0.000           0
     0     8     0           0       0.000           0
     0     8     1          66      42.308         156
     0     8     2          71      45.513         156
     0     8     3          79      50.641         156
     0     8     4          79      50.641         156
     0     8     5          81      51.923         156
     0     8     6          80      51.282         156
     0     8     7          76      48.718         156
     0     8     8          72      46.154         156
     0     8     9          58      37.179         156
     0     8    10           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          46      29.487         156
     0     9     2          54      34.615         156
     0     9     3          59      37.821         156
     0     9     4          62      39.744         156
     0     9     5          74      47.436         156
     0     9     6          71      45.513         156
     0     9     7          65      41.667         156
     0     9     8          56      35.897         156
     0     9     9          39      25.000         156
     0     9    10           0       0.000           0
     0    10     0           0       0.000           0
     0    10     1          47      30.128         156
     0    10     2          56      35.897         156
     0    10     3          64      41.026         156
     0    10     4          73      46.795         156
     0    10     5          90      57.692         156
     0    10     6          81      51.923         156
     0    10     7          72      46.154         156
     0    10     8          61      39.103         156
     0    10     9          42      26.923         156
     0    10    10           0       0.000           0
