 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     0    11           0       0.000           0
     0     0    12           0       0.000           0
     0     0    13           0       0.000           0
     0     0    14           0       0.000           0
     0     0    15           0       0.000           0
     0     0    16           0       0.000           0
     0     0    17           0       0.000           0
     0     1     0          18      12.500         144
     0     1     1          24      16.667         144
     0     1     2          24      16.667         144
     0     1     3          23      15.972         144
     0     1     4          36      25.000         144
     0     1     5          45      31.250         144
     0     1     6          43      29.861         144
     0     1     7          48      33.333         144
     0     1     8          50      34.722         144
     0     1     9          52      36.111         144
     0     1    10          60      41.667         144
     0     1    11          80      55.556         144
     0     1    12          77      53.472         144
     0     1    13          72      50.000         144
     0     1    14          80      55.556         144
     0     1    15          63      43.750         144
     0     1    16          37      25.694         144
     0     1    17          41      28.472         144
     0     2     0          31      21.528         144
     0     2     1          27      18.750         144
     0     2     2          28      19.444         144
     0     2     3          26      18.056         144
     0     2     4          40      27.778         144
     0     2     5          52      36.111         144
     0     2     6          51      35.417         144
     0     2     7          52      36.111         144
     0     2     8          66      45.833         144
     0     2     9          66      45.833         144
     0     2    10          75      52.083         144
     0     2    11          88      61.111         144
     0     2    12          85      59.028         144
     0     2    13          88      61.111         144
     0     2    14          92      63.889         144
     0     2    15          77      53.472         144
     0     2    16          52      36.111         144
     0     2    17          60      41.667         144
     0     3     0          41      28.472         144
     0     3     1          30      20.833         144
     0     3     2          31      21.528         144
     0     3     3          28      19.444         144
     0     3     4          42      29.167         144
     0     3     5          56      38.889         144
     0     3     6          63      43.750         144
     0     3     7          62      43.056         144
     0     3     8          69      47.917         144
     0     3     9          72      50.000         144
     0     3    10          88      61.111         144
     0     3    11          90      62.500         144
     0     3    12          91      63.194         144
     0     3    13          95      65.972         144
     0     3    14          90      62.500         144
     0     3    15          86      59.722         144
     0     3    16          63      43.750         144
     0     3    17          67      46.528         144
     0     4     0          49      34.028         144
     0     4     1          23      15.972         144
     0     4     2          32      22.222         144
     0     4     3          27      18.750         144
     0     4     4          42      29.167         144
     0     4     5          58      40.278         144
     0     4     6          73      50.694         144
     0     4     7          71      49.306         144
     0     4     8          76      52.778         144
     0     4     9          89      61.806         144
     0     4    10          94      65.278         144
     0     4    11          90      62.500         144
     0     4    12          98      68.056         144
     0     4    13          91      63.194         144
     0     4    14          88      61.111         144
     0     4    15          94      65.278         144
     0     4    16          73      50.694         144
     0     4    17          73      50.694         144
     0     5     0          61      42.361         144
     0     5     1          27      18.750         144
     0     5     2          32      22.222         144
     0     5     3          33      22.917         144
     0     5     4          44      30.556         144
     0     5     5          64      44.444         144
     0     5     6          84      58.333         144
     0     5     7          81      56.250         144
     0     5     8          91      63.194         144
     0     5     9          99      68.750         144
     0     5    10         100      69.444         144
     0     5    11          89      61.806         144
     0     5    12          99      68.750         144
     0     5    13          99      68.750         144
     0     5    14          95      65.972         144
     0     5    15         100      69.444         144
     0     5    16          70      48.611         144
     0     5    17          75      52.083         144
     0     6     0          66      45.833         144
     0     6     1          31      21.528         144
     0     6     2          42      29.167         144
     0     6     3          39      27.083         144
     0     6     4          51      35.417         144
     0     6     5          66      45.833         144
     0     6     6          87      60.417         144
     0     6     7          78      54.167         144
     0     6     8          89      61.806         144
     0     6     9         100      69.444         144
     0     6    10          92      63.889         144
     0     6    11          96      66.667         144
     0     6    12         100      69.444         144
