 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1          26      18.056         144
     0     0     2          44      30.556         144
     0     0     3          57      39.583         144
     0     0     4          65      45.139         144
     0     0     5          71      49.306         144
     0     0     6          67      46.528         144
     0     0     7          71      49.306         144
     0     0     8          78      54.167         144
     0     0     9          87      60.417         144
     0     0    10          94      65.278         144
     0     0    11          96      66.667         144
     0     0    12         103      71.528         144
     0     0    13         103      71.528         144
     0     0    14          95      65.972         144
     0     0    15          90      62.500         144
     0     0    16          72      50.000         144
     0     0    17          51      35.417         144
     0     0    18           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1          17      11.806         144
     0     1     2          23      15.972         144
     0     1     3          32      22.222         144
     0     1     4          41      28.472         144
     0     1     5          50      34.722         144
     0     1     6          53      36.806         144
     0     1     7          56      38.889         144
     0     1     8          67      46.528         144
     0     1     9          75      52.083         144
     0     1    10          84      58.333         144
     0     1    11          99      68.750         144
     0     1    12         103      71.528         144
     0     1    13         108      75.000         144
     0     1    14         104      72.222         144
     0     1    15          88      61.111         144
     0     1    16          76      52.778         144
     0     1    17          50      34.722         144
     0     1    18           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1          13       9.028         144
     0     2     2          22      15.278         144
     0     2     3          24      16.667         144
     0     2     4          35      24.306         144
     0     2     5          42      29.167         144
     0     2     6          43      29.861         144
     0     2     7          53      36.806         144
     0     2     8          59      40.972         144
     0     2     9          73      50.694         144
     0     2    10          83      57.639         144
     0     2    11          92      63.889         144
     0     2    12         100      69.444         144
     0     2    13         103      71.528         144
     0     2    14          99      68.750         144
     0     2    15          90      62.500         144
     0     2    16          75      52.083         144
     0     2    17          55      38.194         144
     0     2    18           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          11       7.639         144
     0     3     2          18      12.500         144
     0     3     3          25      17.361         144
     0     3     4          34      23.611         144
     0     3     5          44      30.556         144
     0     3     6          53      36.806         144
     0     3     7          67      46.528         144
     0     3     8          76      52.778         144
     0     3     9          90      62.500         144
     0     3    10          96      66.667         144
     0     3    11         102      70.833         144
     0     3    12         108      75.000         144
     0     3    13         110      76.389         144
     0     3    14         106      73.611         144
     0     3    15          91      63.194         144
     0     3    16          72      50.000         144
     0     3    17          46      31.944         144
     0     3    18           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          15      10.417         144
     0     4     2          16      11.111         144
     0     4     3          28      19.444         144
     0     4     4          42      29.167         144
     0     4     5          54      37.500         144
     0     4     6          70      48.611         144
     0     4     7          72      50.000         144
     0     4     8          81      56.250         144
     0     4     9          89      61.806         144
     0     4    10          92      63.889         144
     0     4    11          99      68.750         144
     0     4    12          97      67.361         144
     0     4    13         106      73.611         144
     0     4    14         101      70.139         144
     0     4    15          91      63.194         144
     0     4    16          81      56.250         144
     0     4    17          54      37.500         144
     0     4    18           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          20      13.889         144
     0     5     2          24      16.667         144
     0     5     3          29      20.139         144
     0     5     4          32      22.222         144
     0     5     5          44      30.556         144
     0     5     6          63      43.750         144
     0     5     7          72      50.000         144
     0     5     8          86      59.722         144
     0     5     9          97      67.361         144
     0     5    10          98      68.056         144
     0     5    11         108      75.000         144
     0     5    12         107      74.306         144
     0     5    13         110      76.389         144
     0     5    14         101      70.139         144
     0     5    15          85      59.028         144
     0     5    16          70      48.611         144
     0     5    17          42      29.167         144
     0     5    18           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          31      21.528         144
     0     6     2          36      25.000         144
     0     6     3          43      29.861         144
     0     6     4          51      35.417         144
     0     6     5          62      43.056         144
     0     6     6          73      50.694         144
     0     6     7          77      53.472         144
     0     6     8          81      56.250         144
     0     6     9          83      57.639         144
     0     6    10          85      59.028         144
     0     6    11          91      63.194         144
     0     6    12          99      68.750         144
     0     6    13         105      72.917         144
     0     6    14         106      73.611         144
     0     6    15          97      67.361         144
     0     6    16          83      57.639         144
     0     6    17          55      38.194         144
     0     6    18           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1          30      20.833         144
     0     7     2          37      25.694         144
     0     7     3          43      29.861         144
     0     7     4          47      32.639         144
     0     7     5          59      40.972         144
     0     7     6          73      50.694         144
     0     7     7          84      58.333         144
     0     7     8          98      68.056         144
     0     7     9          97      67.361         144
     0     7    10          93      64.583         144
     0     7    11          95      65.972         144
     0     7    12          98      68.056         144
     0     7    13         100      69.444         144
     0     7    14          96      66.667         144
     0     7    15          84      58.333         144
     0     7    16          67      46.528         144
     0     7    17          45      31.250         144
     0     7    18           0       0.000           0
     0     8     0           0       0.000           0
     0     8     1          54      37.500         144
     0     8     2          58      40.278         144
     0     8     3          68      47.222         144
     0     8     4          66      45.833         144
     0     8     5          76      52.778         144
     0     8     6          83      57.639         144
     0     8     7          83      57.639         144
     0     8     8          94      65.278         144
     0     8     9          91      63.194         144
     0     8    10          89      61.806         144
     0     8    11          91      63.194         144
     0     8    12          94      65.278         144
     0     8    13         101      70.139         144
     0     8    14          96      66.667         144
     0     8    15          83      57.639         144
     0     8    16          66      45.833         144
     0     8    17          40      27.778         144
     0     8    18           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          49      34.028         144
