 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     0    11           0       0.000           0
     0     1     0          35      22.727         154
     0     1     1          40      25.974         154
     0     1     2          41      26.623         154
     0     1     3          43      27.922         154
     0     1     4          32      20.779         154
     0     1     5          49      31.818         154
     0     1     6          55      35.714         154
     0     1     7          58      37.662         154
     0     1     8          61      39.610         154
     0     1     9          63      40.909         154
     0     1    10          38      24.675         154
     0     1    11          35      22.727         154
     0     2     0          46      29.870         154
     0     2     1          61      39.610         154
     0     2     2          59      38.312         154
     0     2     3          60      38.961         154
     0     2     4          54      35.065         154
     0     2     5          67      43.506         154
     0     2     6          74      48.052         154
     0     2     7          73      47.403         154
     0     2     8          77      50.000         154
     0     2     9          78      50.649         154
     0     2    10          52      33.766         154
     0     2    11          48      31.169         154
     0     3     0          65      42.208         154
     0     3     1          74      48.052         154
     0     3     2          76      49.351         154
     0     3     3          67      43.506         154
     0     3     4          70      45.455         154
     0     3     5          81      52.597         154
     0     3     6          83      53.896         154
     0     3     7          89      57.792         154
     0     3     8          85      55.195         154
     0     3     9          82      53.247         154
     0     3    10          69      44.805         154
     0     3    11          63      40.909         154
     0     4     0          78      50.649         154
     0     4     1          89      57.792         154
     0     4     2          87      56.494         154
     0     4     3          78      50.649         154
     0     4     4          80      51.948         154
     0     4     5          89      57.792         154
     0     4     6          91      59.091         154
     0     4     7         100      64.935         154
     0     4     8          87      56.494         154
     0     4     9          98      63.636         154
     0     4    10          84      54.545         154
     0     4    11          72      46.753         154
     0     5     0          85      55.195         154
     0     5     1          99      64.286         154
     0     5     2          94      61.039         154
     0     5     3          93      60.390         154
     0     5     4         103      66.883         154
     0     5     5         102      66.234         154
     0     5     6         102      66.234         154
     0     5     7         103      66.883         154
     0     5     8          96      62.338         154
     0     5     9         103      66.883         154
     0     5    10          98      63.636         154
     0     5    11          83      53.896         154
     0     6     0          89      57.792         154
     0     6     1          98      63.636         154
     0     6     2          92      59.740         154
     0     6     3          92      59.740         154
     0     6     4         102      66.234         154
     0     6     5         104      67.532         154
     0     6     6         104      67.532         154
     0     6     7         101      65.584         154
     0     6     8          90      58.442         154
     0     6     9         105      68.182         154
     0     6    10         101      65.584         154
     0     6    11          84      54.545         154
     0     7     0          89      57.792         154
     0     7     1         100      64.935         154
     0     7     2          99      64.286         154
     0     7     3         101      65.584         154
     0     7     4         107      69.481         154
     0     7     5         110      71.429         154
     0     7     6         110      71.429         154
     0     7     7         103      66.883         154
     0     7     8          98      63.636         154
     0     7     9         103      66.883         154
     0     7    10          95      61.688         154
     0     7    11          82      53.247         154
     0     8     0          85      55.195         154
     0     8     1          92      59.740         154
     0     8     2          96      62.338         154
     0     8     3         101      65.584         154
     0     8     4         115      74.675         154
     0     8     5         112      72.727         154
     0     8     6         111      72.078         154
     0     8     7         101      65.584         154
     0     8     8          96      62.338         154
     0     8     9          97      62.987         154
     0     8    10          91      59.091         154
     0     8    11          79      51.299         154
     0     9     0          77      50.000         154
     0     9     1          78      50.649         154
     0     9     2          90      58.442         154
     0     9     3          92      59.740         154
     0     9     4          99      64.286         154
     0     9     5         104      67.532         154
     0     9     6         100      64.935         154
     0     9     7          92      59.740         154
     0     9     8          84      54.545         154
     0     9     9          85      55.195         154
     0     9    10          77      50.000         154
     0     9    11          62      40.260         154
     0    10     0          69      44.805         154
     0    10     1          70      45.455         154
     0    10     2          84      54.545         154
     0    10     3          87      56.494         154
     0    10     4          92      59.740         154
     0    10     5          92      59.740         154
     0    10     6          90      58.442         154
     0    10     7          77      50.000         154
     0    10     8          78      50.649         154
     0    10     9          71      46.104         154
     0    10    10          61      39.610         154
     0    10    11          51      33.117         154
     0    11     0          55      35.714         154
     0    11     1          59      38.312         154
     0    11     2          66      42.857         154
     0    11     3          74      48.052         154
     0    11     4          81      52.597         154
     0    11     5          76      49.351         154
     0    11     6          75      48.701         154
     0    11     7          66      42.857         154
     0    11     8          55      35.714         154
     0    11     9          62      40.260         154
     0    11    10          47      30.519         154
     0    11    11          38      24.675         154
     0    12     0          39      25.325         154
     0    12     1          48      31.169         154
     0    12     2          61      39.610         154
     0    12     3          69      44.805         154
     0    12     4          68      44.156         154
     0    12     5          67      43.506         154
     0    12     6          60      38.961         154
     0    12     7          43      27.922         154
     0    12     8          45      29.221         154
     0    12     9          44      28.571         154
     0    12    10          30      19.481         154
     0    12    11          22      14.286         154
     0    13     0           0       0.000           0
     0    13     1           0       0.000           0
     0    13     2           0       0.000           0
     0    13     3           0       0.000           0
     0    13     4           0       0.000           0
     0    13     5           0       0.000           0
     0    13     6           0       0.000           0
     0    13     7           0       0.000           0
     0    13     8           0       0.000           0
     0    13     9           0       0.000           0
     0    13    10           0       0.000           0
     0    13    11           0       0.000           0
