 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1          26      16.883         154
     0     0     2          35      22.727         154
     0     0     3          44      28.571         154
     0     0     4          46      29.870         154
     0     0     5          54      35.065         154
     0     0     6          61      39.610         154
     0     0     7          60      38.961         154
     0     0     8          55      35.714         154
     0     0     9          56      36.364         154
     0     0    10          44      28.571         154
     0     0    11          35      22.727         154
     0     0    12           0       0.000           0
     0     1     0           0       0.000           0
     0     1     1          36      23.377         154
     0     1     2          49      31.818         154
     0     1     3          60      38.961         154
     0     1     4          66      42.857         154
     0     1     5          77      50.000         154
     0     1     6          78      50.649         154
     0     1     7          87      56.494         154
     0     1     8          82      53.247         154
     0     1     9          75      48.701         154
     0     1    10          66      42.857         154
     0     1    11          44      28.571         154
     0     1    12           0       0.000           0
     0     2     0           0       0.000           0
     0     2     1          41      26.623         154
     0     2     2          52      33.766         154
     0     2     3          58      37.662         154
     0     2     4          71      46.104         154
     0     2     5          81      52.597         154
     0     2     6          83      53.896         154
     0     2     7          87      56.494         154
     0     2     8          82      53.247         154
     0     2     9          77      50.000         154
     0     2    10          66      42.857         154
     0     2    11          53      34.416         154
     0     2    12           0       0.000           0
     0     3     0           0       0.000           0
     0     3     1          53      34.416         154
     0     3     2          64      41.558         154
     0     3     3          71      46.104         154
     0     3     4          77      50.000         154
     0     3     5          83      53.896         154
     0     3     6          87      56.494         154
     0     3     7          86      55.844         154
     0     3     8          87      56.494         154
     0     3     9          89      57.792         154
     0     3    10          82      53.247         154
     0     3    11          71      46.104         154
     0     3    12           0       0.000           0
     0     4     0           0       0.000           0
     0     4     1          64      41.558         154
     0     4     2          73      47.403         154
     0     4     3          85      55.195         154
     0     4     4          87      56.494         154
     0     4     5          96      62.338         154
     0     4     6          97      62.987         154
     0     4     7          92      59.740         154
     0     4     8          94      61.039         154
     0     4     9          88      57.143         154
     0     4    10          80      51.948         154
     0     4    11          71      46.104         154
     0     4    12           0       0.000           0
     0     5     0           0       0.000           0
     0     5     1          66      42.857         154
     0     5     2          82      53.247         154
     0     5     3          91      59.091         154
     0     5     4         102      66.234         154
     0     5     5         109      70.779         154
     0     5     6         108      70.130         154
     0     5     7         109      70.779         154
     0     5     8          91      59.091         154
     0     5     9          85      55.195         154
     0     5    10          76      49.351         154
     0     5    11          58      37.662         154
     0     5    12           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1          62      40.260         154
     0     6     2          79      51.299         154
     0     6     3          88      57.143         154
     0     6     4          98      63.636         154
     0     6     5         103      66.883         154
     0     6     6          99      64.286         154
     0     6     7          99      64.286         154
     0     6     8          84      54.545         154
     0     6     9          78      50.649         154
     0     6    10          71      46.104         154
     0     6    11          50      32.468         154
     0     6    12           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1          61      39.610         154
     0     7     2          80      51.948         154
     0     7     3          95      61.688         154
     0     7     4         105      68.182         154
     0     7     5         109      70.779         154
     0     7     6         104      67.532         154
     0     7     7         103      66.883         154
     0     7     8          94      61.039         154
     0     7     9          84      54.545         154
     0     7    10          70      45.455         154
     0     7    11          60      38.961         154
     0     7    12           0       0.000           0
     0     8     0           0       0.000           0
     0     8     1          53      34.416         154
     0     8     2          71      46.104         154
     0     8     3          90      58.442         154
     0     8     4         102      66.234         154
     0     8     5         105      68.182         154
     0     8     6         104      67.532         154
     0     8     7         104      67.532         154
     0     8     8          98      63.636         154
     0     8     9          90      58.442         154
     0     8    10          81      52.597         154
     0     8    11          63      40.909         154
     0     8    12           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          63      40.909         154
     0     9     2          76      49.351         154
     0     9     3          88      57.143         154
     0     9     4          96      62.338         154
     0     9     5         107      69.481         154
     0     9     6         109      70.779         154
     0     9     7         110      71.429         154
     0     9     8         103      66.883         154
     0     9     9          88      57.143         154
     0     9    10          72      46.753         154
     0     9    11          52      33.766         154
     0     9    12           0       0.000           0
     0    10     0           0       0.000           0
     0    10     1          52      33.766         154
     0    10     2          72      46.753         154
     0    10     3          90      58.442         154
     0    10     4          96      62.338         154
     0    10     5         106      68.831         154
     0    10     6         109      70.779         154
     0    10     7         103      66.883         154
     0    10     8          91      59.091         154
     0    10     9          76      49.351         154
     0    10    10          59      38.312         154
     0    10    11          42      27.273         154
     0    10    12           0       0.000           0
     0    11     0           0       0.000           0
     0    11     1          47      30.519         154
     0    11     2          72      46.753         154
     0    11     3          85      55.195         154
     0    11     4          93      60.390         154
     0    11     5         100      64.935         154
     0    11     6          94      61.039         154
     0    11     7          88      57.143         154
     0    11     8          73      47.403         154
     0    11     9          55      35.714         154
     0    11    10          42      27.273         154
     0    11    11          31      20.130         154
     0    11    12           0       0.000           0
     0    12     0           0       0.000           0
     0    12     1          36      23.377         154
     0    12     2          62      40.260         154
     0    12     3          71      46.104         154
     0    12     4          81      52.597         154
     0    12     5          89      57.792         154
     0    12     6          85      55.195         154
     0    12     7          79      51.299         154
     0    12     8          68      44.156         154
     0    12     9          54      35.065         154
     0    12    10          32      20.779         154
     0    12    11          22      14.286         154
     0    12    12           0       0.000           0
